PAC,Gene,Description,Family,Number of Interactions,Rank of Druggabilty,Druggability Percentile,Rank Druggability for Other Therapeutic Areas,Druggability for Other Therapeutic Areas Percentile,Rank Druggability for Cancer,Druggability for Cancer Percentile,Rank Cancer-Associated,Cancer-Associated Percentile,Is this gene a drug target?,Is this gene a target of other therapeutics?,Is this gene a target of cancer therapeutics?,Is this gene associated with cancer?,Is this gene in the CGC?,Maximum Druggability percentile
A2RTX5,TARSL2,"Probable threonine--tRNA ligase 2, cytoplasmic", class-II aminoacyl-tRNA synthetase family.,1,9455,29%,9263,31%,12729,5%,12951,3%,0,0,0,0,0,0.31
A2RU14,TMEM218,Transmembrane protein 218,TMEM218 family,3,12810,4%,8607,36%,11579,13%,9241,31%,0,0,0,0,0,0.36
A2RU48,SMCO3,Single-pass membrane and coiled-coil domain-containing protein 3,,2,11693,12%,12516,6%,10485,21%,9937,26%,0,0,0,0,0,0.21
A2RU49,HYKK,Hydroxylysine kinase,aminoglycoside phosphotransferase family,2,12776,4%,12013,10%,12612,5%,12194,9%,0,0,0,0,0,0.10
A2RUG3,XKRY2,"Testis-specific XK-related protein, Y-linked 2",XK family,1,11258,16%,10594,21%,9895,26%,6678,50%,0,0,0,0,0,0.26
A2RUH7,MYBPHL,Myosin-binding protein H-like,MyBP family,1,12396,7%,12975,3%,12558,6%,12454,7%,0,0,0,0,0,0.07
A2RUS2,DENND3,DENN domain-containing protein 3,,1,10715,20%,10451,22%,11591,13%,9721,27%,0,0,0,0,0,0.22
A2VCK2,DCDC2B,Doublecortin domain-containing protein 2B,,5,11685,12%,10121,24%,10185,24%,8428,37%,0,0,0,0,0,0.24
A2VEC9,SSPO,SCO-spondin,thrombospondin family,3,8580,36%,9705,27%,10767,19%,10760,19%,0,0,0,0,0,0.36
A3KMH1,KIAA0564,Uncharacterized protein KIAA0564,,1,7019,47%,4432,67%,10789,19%,11824,11%,0,0,0,0,0,0.67
A4D1E9,GTPBP10,GTP-binding protein 10, GTP1/OBG family.,4,12157,9%,12069,10%,10603,21%,9467,29%,0,0,0,0,0,0.21
A4D1P6,WDR91,WD repeat-containing protein 91,,3,4144,69%,638,95%,10025,25%,7205,46%,0,0,0,0,0,0.95
A4D1U4,LCHN,Protein LCHN,LCHN family,1,10492,21%,11070,17%,12893,3%,12256,8%,0,0,0,0,0,0.21
A4D2P6,GRID2IP,Delphilin,,1,3607,73%,3727,72%,6739,50%,11827,11%,0,0,0,0,0,0.73
A4FU01,MTMR11,Myotubularin-related protein 11, protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily.,1,11219,16%,12187,9%,11824,11%,8438,37%,0,0,0,0,0,0.16
A4GXA9,EME2,Probable crossover junction endonuclease EME2,EME1/MMS4 family,3,7698,42%,6226,53%,11250,16%,9956,25%,0,0,0,0,0,0.53
A4QPB2,LRP5L,"Low-density lipoprotein receptor-related protein 5-like protein, LRP-5-like",,2,9316,30%,8742,34%,9045,32%,8048,40%,0,0,0,0,0,0.34
A4UGR9,XIRP2,Xin actin-binding repeat-containing protein 2,Xin family,2,11160,16%,11827,11%,11185,16%,9586,28%,0,0,0,0,0,0.16
A5D6W6,FITM1,Fat storage-inducing transmembrane protein 1,FIT family,1,13064,2%,13075,2%,13069,2%,13271,1%,0,0,0,0,0,0.02
A5D8T8,CLEC18A,C-type lectin domain family 18 member A,,2,11246,16%,12705,5%,12544,6%,11714,12%,0,0,0,0,0,0.16
A5D8V6,VPS37C,"Vacuolar protein sorting-associated protein 37C, hVps37C", VPS37 family.,33,12229,8%,10885,18%,3002,78%,3450,74%,0,0,0,0,0,0.78
A5D8V7,CCDC151,Coiled-coil domain-containing protein 151,,7,11764,12%,10978,18%,8971,33%,7080,47%,0,0,0,0,0,0.33
A5PKW4,PSD,PH and SEC7 domain-containing protein 1, PSD family.,5,5134,62%,1747,87%,8341,37%,10260,23%,0,0,0,0,0,0.87
A5PL33,KRBA1,Protein KRBA1,,1,11082,17%,10960,18%,10318,23%,10625,20%,0,0,0,0,0,0.23
A5PLL7,TMEM189,Transmembrane protein 189,,2,12815,4%,10298,23%,10039,25%,8288,38%,0,0,0,0,0,0.25
A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1, CNOT1 family.,16,2045,85%,6252,53%,2205,83%,1633,88%,0,0,0,0,0,0.85
A5YM72,CARNS1,Carnosine synthase 1,,1,10092,24%,10443,22%,11331,15%,9876,26%,0,0,0,0,0,0.24
A6BM72,MEGF11,"Multiple epidermal growth factor-like domains protein 11, Multiple EGF-like domains protein 11", MEGF family.,1,12356,7%,12867,4%,12501,6%,12347,7%,0,0,0,0,0,0.07
A6H8Y1,BDP1,Transcription factor TFIIIB component B'' homolog,,4,7624,43%,10887,18%,5734,57%,3313,75%,0,0,0,0,0,0.57
A6NC98,CCDC88B,Coiled-coil domain-containing protein 88B, CCDC88 family.,2,10717,20%,3901,71%,11133,17%,8814,34%,0,0,0,0,0,0.71
A6NDG6,PGP,Phosphoglycolate phosphatase,CbbY/CbbZ/Gph/YieH family,2,10018,25%,5529,59%,10495,21%,9264,31%,0,0,0,0,0,0.59
A6NDI0,TRIM49B,Putative tripartite motif-containing protein 49B,TRIM/RBCC family,1,10226,23%,10006,25%,10046,25%,9784,27%,0,0,0,0,0,0.25
A6NDV4,TMEM8B,Transmembrane protein 8B,TMEM8 family,2,8238,38%,5587,58%,10964,18%,9579,28%,0,0,0,0,0,0.58
A6NE52,KIAA1875,WD repeat-containing protein KIAA1875,,1,10916,18%,11277,15%,12022,10%,9723,27%,0,0,0,0,0,0.18
A6NER0,TBC1D3F,TBC1 domain family member 3F,,1,5103,62%,3077,77%,7333,45%,10722,20%,0,0,0,0,0,0.77
A6NFR6,C5orf60,Putative uncharacterized protein C5orf60,,4,9740,27%,11845,11%,11713,12%,10843,19%,0,0,0,0,0,0.27
A6NGB9,WIPF3,WAS/WASL-interacting protein family member 3,verprolin family,1,6663,50%,5633,58%,6437,52%,12527,6%,0,0,0,0,0,0.58
A6NH11,GLTPD2,Glycolipid transfer protein domain-containing protein 2,GLTP family,1,9519,29%,9691,27%,12265,8%,12590,6%,0,0,0,0,0,0.29
A6NHQ2,FBLL1,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1,Fibrillarin family,1,11636,13%,11853,11%,12668,5%,11460,14%,0,0,0,0,0,0.13
A6NHR9,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,,2,9093,32%,11863,11%,7901,41%,5334,60%,0,0,0,0,0,0.41
A6NHT5,HMX3,Homeobox protein HMX3,HMX homeobox family,1,9965,25%,10784,19%,12790,4%,12805,4%,0,0,0,0,0,0.25
A6NI79,CCDC69,Coiled-coil domain-containing protein 69,,5,9948,25%,6447,52%,3557,73%,6668,50%,0,0,0,0,0,0.73
A6NIH7,UNC119B,Protein unc-119 homolog B,PDE6D/unc-119 family,2,1078,92%,1415,89%,8487,36%,11061,17%,0,0,0,0,0,0.92
A6NIX2,WTIP,Wilms tumor protein 1-interacting protein,zyxin/ajuba family,2,6020,55%,4798,64%,8749,34%,7877,41%,0,0,0,0,0,0.64
A6NJ78,METTL15,Probable methyltransferase-like protein 15,RsmH family,1,12312,8%,12308,8%,12773,4%,12845,4%,0,0,0,0,0,0.08
A6NJB7,PRR19,Proline-rich protein 19,,2,11284,15%,12689,5%,12622,5%,11652,13%,0,0,0,0,0,0.15
A6NJZ7,RIMBP3C,"RIMS-binding protein 3C, RIM-BP3.C", RIMBP family.,1,5275,60%,3578,73%,7812,41%,11132,17%,0,0,0,0,0,0.73
A6NK53,ZNF233,Zinc finger protein 233, krueppel C2H2-type zinc-finger protein family.,1,9667,28%,10837,19%,12377,7%,12332,8%,0,0,0,0,0,0.28
A6NKD2,TSPY2,Testis-specific Y-encoded protein 2,nucleosome assembly protein (NAP) family,1,13065,2%,13076,2%,13070,2%,13185,1%,0,0,0,0,0,0.02
A6NKD9,CCDC85C,Coiled-coil domain-containing protein 85C,CCDC85 family,1,10905,18%,11213,16%,12403,7%,11627,13%,0,0,0,0,0,0.18
A6NKT7,RGPD3,RanBP2-like and GRIP domain-containing protein 3,,2,8020,40%,8325,38%,7124,47%,6336,53%,0,0,0,0,0,0.47
A6NLP5,TTC36,Tetratricopeptide repeat protein 36,TTC36 family,1,10227,23%,10007,25%,10047,25%,9785,27%,0,0,0,0,0,0.25
A6NNL0,NUTM2B,NUT family member 2B,NUT family,1,10040,25%,5448,59%,12080,9%,10715,20%,0,0,0,1,1,0.59
A6NP11,ZNF716,Zinc finger protein 716,krueppel C2H2-type zinc-finger protein family,1,10228,23%,10008,25%,10048,25%,9786,27%,0,0,0,0,0,0.25
A6PVS8,LRRIQ3,Leucine-rich repeat and IQ domain-containing protein 3,,1,5195,61%,2367,82%,7146,46%,10748,19%,0,0,0,0,0,0.82
A6ZKI3,FAM127A,Protein FAM127A,FAM127 family,3,11945,10%,9459,29%,9644,28%,8138,39%,0,0,0,0,0,0.29
A7E2F4,GOLGA8A,Golgin subfamily A member 8A,GOLGA8 family,1,5687,57%,4064,70%,8128,39%,11369,15%,0,0,0,0,0,0.70
A7E2V4,KIAA0913,Zinc finger SWIM domain-containing protein KIAA0913,,3,9173,31%,11154,16%,10700,20%,8158,39%,0,0,0,0,0,0.31
A7E2Y1,MYH7B,Myosin-7B,Myosin family,1,10015,25%,9235,31%,12489,6%,11963,10%,0,0,0,0,0,0.31
A7KAX9,ARHGAP32,Rho GTPase-activating protein 32, PX domain-containing GAP family.,34,873,93%,3237,76%,209,98%,382,97%,0,0,0,0,0,0.98
A7MCY6,TBKBP1,"TANK-binding kinase 1-binding protein 1, TBK1-binding protein 1",,5,8023,40%,9154,31%,8000,40%,6973,48%,0,0,0,0,0,0.40
A7MD48,SRRM4,Serine/arginine repetitive matrix protein 4, nSR1 family.,1,9668,28%,10838,19%,12378,7%,12333,8%,0,0,0,0,0,0.28
A7XYQ1,SOBP,Sine oculis-binding protein homolog, SOBP family.,2,9499,29%,11212,16%,11319,15%,10301,23%,0,0,0,0,0,0.29
A8CG34,POM121C,Nuclear envelope pore membrane protein POM 121C, POM121 family.,3,3701,72%,3032,77%,5223,61%,8085,39%,0,0,0,0,0,0.77
A8K0R7,ZNF839,Zinc finger protein 839,,3,6771,49%,5186,61%,6006,55%,6991,48%,0,0,0,0,0,0.61
A8K0Z3,WASH1,WAS protein family homolog 1,WASH1 family,4,9752,27%,5893,56%,12245,8%,10823,19%,0,0,0,0,0,0.56
A8K4G0,CD300LB,CMRF35-like molecule 7,CD300 family,2,6055,55%,4506,66%,2783,79%,6643,50%,0,0,0,0,0,0.79
A8K7I4,CLCA1,Calcium-activated chloride channel regulator 1,CLCR family,2,3289,75%,3142,76%,7269,46%,10593,21%,0,0,0,0,0,0.76
A8K8P3,SFI1,"Protein SFI1 homolog, hSFI1", SFI1 family.,13,8461,37%,8974,33%,5357,60%,5848,56%,0,0,0,0,0,0.60
A8K8V0,ZNF785,Zinc finger protein 785,krueppel C2H2-type zinc-finger protein family,6,8397,37%,8119,39%,11902,11%,10387,22%,0,0,0,0,0,0.39
A8MPX8,PP2D1,Protein phosphatase 2C-like domain-containing protein 1,PP2C family,1,13066,2%,13077,2%,13071,2%,13296,0%,0,0,0,0,0,0.02
A8MQ03,C9orf169,UPF0574 protein C9orf169, UPF574 family.,1,9669,28%,10839,19%,12379,7%,12334,8%,0,0,0,0,0,0.28
A8MT69,STRA13,Centromere protein X,CENPX family,7,8496,36%,8105,39%,3138,76%,2049,85%,0,0,0,0,0,0.76
A8MTJ3,GNAT3,Guanine nucleotide-binding protein G(t) subunit alpha-3,G-alpha family,1,1215,91%,1950,85%,5938,56%,11495,14%,0,0,0,0,0,0.91
A8MUZ8,ZNF705G,Putative zinc finger protein 705G,krueppel C2H2-type zinc-finger protein family,1,10229,23%,10009,25%,10049,25%,9787,27%,0,0,0,0,0,0.25
A8MVW0,FAM171A2,Protein FAM171A2,FAM171 family,2,12732,5%,12336,8%,11943,11%,11220,16%,0,0,0,0,0,0.11
A8MW92,PHF20L1,PHD finger protein 20-like protein 1,,11,7871,41%,10831,19%,3486,74%,3582,73%,0,0,0,0,0,0.74
A8MXD5,GRXCR1,Glutaredoxin domain-containing cysteine-rich protein 1, GRXCR1 family.,1,11579,13%,12572,6%,12912,3%,11176,16%,0,0,0,0,0,0.13
A8MXV4,NUDT19,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial",Nudix hydrolase family,1,5469,59%,7308,45%,9584,28%,10796,19%,0,0,0,0,0,0.59
A8MZ97,C2orf74,Uncharacterized protein C2orf74,,1,5658,58%,8067,40%,9310,30%,10751,19%,0,0,0,0,0,0.58
A9QM74,KPNA7,Importin subunit alpha-8,importin alpha family,1,10535,21%,11273,16%,11933,11%,9888,26%,0,0,0,0,0,0.21
A9UF07,,,,5,2303,83%,2398,82%,1734,87%,2361,82%,0,0,0,0,0,0.87
A9UHW6,MIF4GD,MIF4G domain-containing protein, MIF4GD family.,10,5877,56%,7979,40%,4506,66%,4173,69%,0,0,0,0,0,0.66
A9YTQ3,AHRR,Aryl hydrocarbon receptor repressor,,1,10974,18%,12181,9%,11847,11%,9589,28%,0,0,0,0,0,0.18
AAC50053,,,,1,11083,17%,10961,18%,10319,23%,10626,20%,0,0,0,0,0,0.23
B0I1T2,MYO1G,Unconventional myosin-Ig,,1,5233,61%,4273,68%,7747,42%,11143,17%,0,0,0,0,0,0.68
B1AH88,TSPO,Putative peripheral benzodiazepine receptor-related protein,,3,7643,43%,10379,22%,10692,20%,11399,15%,0,0,0,0,0,0.43
B1AK53,ESPN,Espin,,1,8442,37%,9702,27%,9291,30%,11390,15%,0,0,0,0,0,0.37
B2RC85,RSPH10B2,Radial spoke head 10 homolog B2,,1,13067,2%,13078,2%,13072,2%,13297,0%,0,0,0,0,0,0.02
B2RD01,CENPBD1,CENPB DNA-binding domain-containing protein 1,,2,12974,3%,12305,8%,12436,7%,10941,18%,0,0,0,0,0,0.08
B2RTY4,MYO9A,Unconventional myosin-IXa,,4,7399,45%,2652,80%,8449,37%,11079,17%,0,0,0,0,0,0.80
B6SEH8,ERVV-1,Endogenous retrovirus group V member 1 Env polyprotein,gamma type-C retroviral envelope protein family,1,11220,16%,12188,9%,11825,11%,8439,37%,0,0,0,0,0,0.16
B7ZAP0,RABGAP1L,"Rab GTPase-activating protein 1-like, isoform 10",,5,12099,9%,9282,30%,11110,17%,10776,19%,0,0,0,0,0,0.30
B7ZBB8,PPP1R3G,Putative protein phosphatase 1 regulatory inhibitor subunit 3G,,1,11580,13%,12573,6%,12913,3%,11177,16%,0,0,0,0,0,0.13
C4AMC7,WASH3P,Putative WAS protein family homolog 3,WASH1 family,1,13068,2%,13079,2%,13073,2%,13077,2%,0,0,0,0,0,0.02
C9J442,C22orf46,Uncharacterized protein C22orf46,,3,10643,20%,11980,10%,9040,32%,7813,41%,0,0,0,0,0,0.32
D6RGH6,MCI,Multicilin, geminin family.,1,8043,40%,9024,32%,8548,36%,9175,31%,0,0,0,0,0,0.40
E7ETH6,ZNF587B,Zinc finger protein 587B,krueppel C2H2-type zinc-finger protein family,1,11221,16%,12189,9%,11826,11%,8440,37%,0,0,0,0,0,0.16
E9PAV3,,,,10,4638,65%,4743,64%,2570,81%,2079,84%,0,0,0,0,0,0.81
F7VJQ1,PRNP,Alternative prion protein,,52,9077,32%,6128,54%,2068,85%,3803,72%,0,0,0,0,0,0.85
F8W6Q8,,,,2,2407,82%,3073,77%,1247,91%,4623,65%,0,0,0,0,0,0.91
J3KPC8,,,,1,4744,64%,5855,56%,8817,34%,10370,22%,0,0,0,0,0,0.64
O00115,DNASE2,Deoxyribonuclease-2-alpha, DNase II family.,2,12959,3%,12280,8%,12289,8%,10652,20%,0,0,0,0,0,0.08
O00116,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",FAD-binding oxidoreductase/transferase type 4 family,3,12246,8%,10759,19%,11134,17%,11047,17%,0,0,0,0,0,0.19
O00124,UBXN8,UBX domain-containing protein 8,,1,11531,14%,11544,13%,11761,12%,12024,10%,0,0,0,0,0,0.14
O00139,KIF2A,Kinesin-like protein KIF2A, kinesin-like protein family. MCAK/KIF2 subfamily.,8,6525,51%,8791,34%,5419,59%,6141,54%,0,0,0,0,0,0.59
O00141,SGK1,Serine/threonine-protein kinase Sgk1, protein kinase superfamily. AGC Ser/Thr protein kinase family.,49,1363,90%,1800,87%,612,95%,1147,91%,0,0,0,0,0,0.95
O00144,FZD9,"Frizzled-9, Fz-9, hFz9", G-protein coupled receptor Fz/Smo family.,6,9827,26%,8203,39%,10124,24%,5317,60%,0,0,0,0,0,0.39
O00148,DDX39A,ATP-dependent RNA helicase DDX39A, DEAD box helicase family. DECD subfamily.,11,5814,56%,7224,46%,4549,66%,4388,67%,0,0,0,0,0,0.66
O00151,PDLIM1,PDZ and LIM domain protein 1,,13,1969,85%,915,93%,4689,65%,3939,70%,0,0,0,0,0,0.93
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,,10,3170,76%,5097,62%,3565,73%,3096,77%,0,0,0,0,0,0.76
O00155,GPR25,Probable G-protein coupled receptor 25,G-protein coupled receptor 1 family,8,4521,66%,586,96%,7570,43%,6774,49%,0,0,0,0,0,0.96
O00159,MYO1C,Unconventional myosin-Ic,,7,1648,88%,2153,84%,2899,78%,2771,79%,0,0,0,0,0,0.88
O00160,MYO1F,Unconventional myosin-If,,2,9458,29%,12834,4%,9328,30%,7257,46%,0,0,0,0,0,0.30
O00161,SNAP23,"Synaptosomal-associated protein 23, SNAP-23", SNAP-25 family.,34,1404,89%,1191,91%,4701,65%,4575,66%,0,0,0,0,0,0.91
O00165,HAX1,HCLS1-associated protein X-1, HAX1 family.,29,4583,66%,4566,66%,3113,77%,2410,82%,0,0,0,0,0,0.77
O00167,EYA2,Eyes absent homolog 2, HAD-like hydrolase superfamily. EYA family.,7,435,97%,234,98%,7093,47%,6592,51%,0,0,0,0,0,0.98
O00168,FXYD1,Phospholemman,FXYD family,9,1062,92%,162,99%,3511,74%,4342,67%,0,0,0,0,0,0.99
O00170,AIP,"AH receptor-interacting protein, AIP",,22,2124,84%,4701,65%,1767,87%,1652,88%,0,0,0,0,0,0.87
O00175,CCL24,C-C motif chemokine 24, intercrine beta (chemokine CC) family.,1,4493,66%,4056,70%,9377,30%,12785,4%,0,0,0,0,0,0.70
O00178,GTPBP1,GTP-binding protein 1,Classic translation factor GTPase family,2,7715,42%,4537,66%,6034,55%,8988,33%,0,0,0,0,0,0.66
O00180,KCNK1,Potassium channel subfamily K member 1, two pore domain potassium channel (TC 1.A.1.8) family.,4,4295,68%,7447,44%,4756,64%,4501,66%,0,0,0,0,0,0.68
O00186,STXBP3,Syntaxin-binding protein 3, STXBP/unc-18/SEC1 family.,14,7822,41%,631,95%,5387,60%,4510,66%,0,0,0,0,0,0.95
O00187,MASP2,Mannan-binding lectin serine protease 2,peptidase S1 family,7,3628,73%,395,97%,6556,51%,10868,19%,0,0,0,0,0,0.97
O00189,AP4M1,AP-4 complex subunit mu-1, adaptor complexes medium subunit family.,14,6200,54%,2294,83%,6329,53%,6616,50%,0,0,0,0,0,0.83
O00192,ARVCF,Armadillo repeat protein deleted in velo-cardio-facial syndrome,beta-catenin family,6,1435,89%,2433,82%,1957,85%,5547,58%,0,0,0,0,0,0.89
O00193,SMAP,Small acidic protein, SMAP family.,16,6312,53%,9400,30%,6398,52%,5176,61%,0,0,0,0,0,0.53
O00194,RAB27B,Ras-related protein Rab-27B, small GTPase superfamily. Rab family.,8,9193,31%,6198,54%,11267,16%,10881,18%,0,0,0,0,0,0.54
O00198,HRK,Activator of apoptosis harakiri,,7,2587,81%,2853,79%,4562,66%,5064,62%,0,0,0,0,0,0.81
O00203,AP3B1,AP-3 complex subunit beta-1, adaptor complexes large subunit family.,14,2950,78%,4342,67%,2529,81%,4697,65%,0,0,0,0,0,0.81
O00204,SULT2B1,"Sulfotransferase family cytosolic 2B member 1, ST2B1, Sulfotransferase 2B1", sulfotransferase 1 family.,6,6508,51%,7908,41%,8791,34%,10417,22%,0,0,0,0,0,0.51
O00206,TLR4,Toll-like receptor 4, Toll-like receptor family.,27,881,93%,2011,85%,495,96%,1226,91%,0,0,0,0,0,0.96
O00212,RHOD,Rho-related GTP-binding protein RhoD, small GTPase superfamily. Rho family.,14,5312,60%,6118,54%,3940,70%,2840,79%,0,0,0,0,0,0.70
O00213,APBB1,Amyloid beta A4 precursor protein-binding family B member 1,,67,8271,38%,8058,40%,1346,90%,1601,88%,0,0,0,0,0,0.90
O00214,LGALS8,"Galectin-8, Gal-8",,10,2141,84%,4309,68%,2932,78%,5287,60%,0,0,0,0,0,0.84
O00217,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial", complex I 23 kDa subunit family.,1,11966,10%,11358,15%,12542,6%,12580,6%,0,0,0,0,0,0.15
O00220,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,,15,6989,48%,5947,55%,3906,71%,3277,75%,0,0,0,0,0,0.71
O00221,NFKBIE,"NF-kappa-B inhibitor epsilon, NF-kappa-BIE", NF-kappa-B inhibitor family.,15,4548,66%,5172,61%,2672,80%,715,95%,0,0,0,1,1,0.80
O00222,GRM8,Metabotropic glutamate receptor 8,G-protein coupled receptor 3 family,4,7050,47%,10518,21%,8285,38%,3999,70%,0,0,0,0,0,0.47
O00230,CORT,Cortistatin,somatostatin family,7,931,93%,1278,90%,8199,39%,9422,29%,0,0,0,0,0,0.93
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11, proteasome subunit S9 family.,38,7707,42%,2434,82%,1418,89%,1931,86%,0,0,0,0,0,0.89
O00232,PSMD12,26S proteasome non-ATPase regulatory subunit 12, proteasome subunit p55 family.,5,7773,42%,6891,48%,5963,55%,4323,68%,0,0,0,0,0,0.55
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9, proteasome subunit p27 family.,15,8793,34%,6880,48%,6176,54%,3147,76%,0,0,0,0,0,0.54
O00237,RNF103,E3 ubiquitin-protein ligase RNF103,,11,7522,44%,5080,62%,3563,73%,4355,67%,0,0,0,0,0,0.73
O00238,BMPR1B,"Bone morphogenetic protein receptor type-1B, BMP type-1B receptor, BMPR-1B", protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily.,66,5744,57%,6232,53%,1812,86%,2561,81%,0,0,0,0,0,0.86
O00241,SIRPB1,"Signal-regulatory protein beta-1, SIRP-beta-1",,4,4400,67%,2778,79%,5172,61%,8142,39%,0,0,0,0,0,0.79
